pais,año,GDP (current US$),"Inflation, consumer prices (annual %)"
United States,2022,25604848907611.0,8.00279982052121
United States,2023,27292170793214.4,4.11633838374488
United States,2024,28750956130731.2,2.94952520485207
Uruguay,1960,1242289239.20493,38.5040374002647
Uruguay,1961,1547388781.43133,22.747263986796
Uruguay,1962,1710004407.22785,10.9074243811899
Uruguay,1963,1539681490.78174,21.2546957175585
Uruguay,1964,1975701816.46615,42.3694157015186
Uruguay,1965,1890767155.52622,56.5565565566607
Uruguay,1966,1809185093.55188,73.4626932061085
Uruguay,1967,1597713469.09611,89.2752972850379
Uruguay,1968,1593674184.56285,125.336991126492
Uruguay,1969,2004435483.87097,20.9666666659998
Uruguay,1970,2137096774.19355,16.3061449435998
Uruguay,1971,2807258064.51613,23.9530889061731
Uruguay,1972,2189418688.80408,76.4849237828812
Uruguay,1973,3964296443.35254,96.9972653187058
Uruguay,1974,4090209681.97172,77.213413779201
Uruguay,1975,3538278046.96236,81.4053840067419
Uruguay,1976,3667161241.48372,50.623049560462
Uruguay,1977,4114670014.3472,58.1961750215737
Uruguay,1978,4910254565.57831,44.5483436672392
Uruguay,1979,7181182224.11227,66.8442861850437
Uruguay,1980,10163020115.7344,63.4758304314673
Uruguay,1981,11048301420.6301,34.0453358609474
Uruguay,1982,9178780076.99713,18.9925012952182
Uruguay,1983,5102276308.45313,49.1973796505637
Uruguay,1984,4850238549.61832,55.3044235418763
Uruguay,1985,4732017873.38369,72.2225644287756
Uruguay,1986,5880112788.40947,76.3806364119544
Uruguay,1987,7367494080.40014,63.5666624326724
Uruguay,1988,8213538368.84635,62.1919564596004
Uruguay,1989,8438951476.06644,80.4474367280735
Uruguay,1990,9298807850.29979,112.525905573023
Uruguay,1991,11206176650.9075,101.971683202507
Uruguay,1992,12878148790.7348,68.4591938395374
Uruguay,1993,15002136971.1745,54.1007924425194
Uruguay,1994,17474588895.8918,44.7360421521933
